timestamp,nivel_log,transaction_id,direction,operation,status_code,latency_ms,user_id,ip_address,modulo
2025-05-13 08:00:05,INFO,txn-0000,request,consignar,200,,user65,198.81.20.19,mobile
2025-05-13 08:00:06,INFO,txn-0000,response,consignar,200,272,user65,198.81.20.19,mobile
2025-05-13 08:00:06,INFO,txn-0001,request,retirar,200,,user94,92.100.49.61,mobile
2025-05-13 08:00:07,INFO,txn-0001,response,retirar,200,143,user94,92.100.49.61,mobile
2025-05-13 08:00:07,INFO,txn-0002,request,transferir,200,,user93,35.10.214.169,mobile
2025-05-13 08:00:08,INFO,txn-0002,response,transferir,200,173,user93,35.10.214.169,mobile
2025-05-13 08:00:08,INFO,txn-0003,request,transferir,200,,user39,155.165.170.170,api
2025-05-13 08:00:09,INFO,txn-0003,response,transferir,200,75,user39,155.165.170.170,api
2025-05-13 08:00:09,INFO,txn-0004,request,transferir,200,,user88,137.102.49.12,mobile
2025-05-13 08:00:10,INFO,txn-0004,response,transferir,200,291,user88,137.102.49.12,mobile
2025-05-13 08:00:10,INFO,txn-0005,request,retirar,200,,user92,125.126.156.72,mobile
2025-05-13 08:00:11,INFO,txn-0005,response,retirar,200,91,user92,125.126.156.72,mobile
2025-05-13 08:00:11,INFO,txn-0006,request,consignar,200,,user37,183.205.52.219,mobile
2025-05-13 08:00:12,INFO,txn-0006,response,consignar,200,200,user37,183.205.52.219,mobile
2025-05-13 08:00:12,INFO,txn-0007,request,consignar,200,,user49,26.46.150.120,mobile
2025-05-13 08:00:13,INFO,txn-0007,response,consignar,200,200,user49,26.46.150.120,mobile
2025-05-13 08:00:13,INFO,txn-0008,request,consignar,200,,user34,180.91.122.212,mobile
2025-05-13 08:00:14,INFO,txn-0008,response,consignar,200,240,user34,180.91.122.212,mobile
2025-05-13 08:00:14,INFO,txn-0009,request,retirar,200,,user58,208.65.106.126,api
2025-05-13 08:00:15,INFO,txn-0009,response,retirar,200,102,user58,208.65.106.126,api
2025-05-13 08:00:15,INFO,txn-0010,request,retirar,200,,user40,176.10.163.171,mobile
2025-05-13 08:00:16,INFO,txn-0010,response,retirar,200,177,user40,176.10.163.171,mobile
2025-05-13 08:00:16,INFO,txn-0011,request,transferir,200,,user2,184.94.171.22,mobile
2025-05-13 08:00:17,INFO,txn-0011,response,transferir,200,293,user2,184.94.171.22,mobile
2025-05-13 08:00:17,INFO,txn-0012,request,transferir,200,,user59,213.39.242.242,web
2025-05-13 08:00:18,INFO,txn-0012,response,transferir,200,222,user59,213.39.242.242,web
2025-05-13 08:00:18,INFO,txn-0013,request,retirar,200,,user24,25.227.129.2,mobile
2025-05-13 08:00:19,INFO,txn-0013,response,retirar,200,175,user24,25.227.129.2,mobile
2025-05-13 08:00:19,ERROR,txn-0014,request,transferir,500,,user6,59.141.177.122,web
2025-05-13 08:00:20,INFO,txn-0015,request,consignar,200,,user32,91.135.65.36,mobile
